;CU;CU2
83;1.0;0.19999999999999996
84;0.7692307692307692;0.41666666666666663
85;1.0;0.4444444444444444
86;1.0;0.16666666666666663
87;1.0;0.41666666666666663
88;1.0;0.631578947368421
89;1.0;0.5294117647058824
90;0.9090909090909091;0.4545454545454546
91;1.0;0.5789473684210527
92;0.9523809523809523;0.625
93;1.0;0.5909090909090908
94;0.9333333333333333;0.4814814814814815
95;1.0;0.33333333333333337
96;0.9310344827586207;0.6097560975609756
97;1.0;0.16666666666666663
98;1.0;0.5555555555555556
99;1.0;0.25
100;1.0;0.2666666666666667
101;1.0;0.40740740740740744
102;1.0;0.55
103;1.0;0.2692307692307693
104;1.0;0.33333333333333337
105;1.0;0.4375
106;1.0;0.2857142857142857
107;1.0;0.6818181818181819
108;1.0;0.3571428571428571
109;1.0;0.4117647058823529
110;1.0;0.5294117647058824
111;1.0;0.14814814814814814
112;1.0;0.5454545454545454
113;1.0;0.52
114;1.0;0.42105263157894735
115;1.0;0.4736842105263158
116;1.0;0.368421052631579
117;1.0;0.5263157894736843
118;1.0;0.2727272727272727
119;0.9411764705882353;0.5517241379310345
120;1.0;0.33333333333333337
121;1.0;0.36363636363636365
122;1.0;0.23076923076923073
123;1.0;0.1578947368421053
124;1.0;0.31818181818181823
125;1.0;0.33333333333333337
126;1.0;0.4285714285714286
127;1.0;0.40740740740740744
128;1.0;0.23076923076923073
129;1.0;0.4
130;0.9444444444444444;0.6538461538461539
131;1.0;0.2222222222222222
132;1.0;0.7560975609756098
133;1.0;0.2142857142857143
134;1.0;0.4375
135;1.0;0.3846153846153846
136;0.18181818181818177;0.0
137;0.6857142857142857;0.6153846153846154
138;1.0;0.5454545454545454
139;1.0;0.16666666666666663
140;1.0;0.33333333333333337
141;1.0;0.33333333333333337
142;1.0;0.2727272727272727
143;1.0;0.1428571428571429
144;1.0;0.16666666666666663
145;0.6470588235294117;0.275
146;1.0;0.2727272727272727
147;0.8888888888888888;0.6153846153846154
148;1.0;0.38095238095238093
149;1.0;0.44999999999999996
150;1.0;0.2857142857142857
151;1.0;0.17647058823529416
152;0.875;0.47058823529411764
153;1.0;0.2857142857142857
154;1.0;0.6428571428571428
155;1.0;0.1875
156;1.0;0.2941176470588235
157;0.8181818181818181;0.375
158;1.0;0.23076923076923073
159;1.0;0.3571428571428571
160;1.0;0.33333333333333337
161;1.0;0.33333333333333337
162;1.0;0.4
163;1.0;0.5
164;1.0;0.2857142857142857
165;1.0;0.4444444444444444
166;1.0;0.2727272727272727
167;1.0;0.5454545454545454
168;1.0;0.368421052631579
169;1.0;0.15384615384615385
170;0.6;0.36
171;1.0;0.18181818181818177
172;1.0;0.3157894736842105
173;1.0;0.20833333333333337
174;1.0;0.4782608695652174
175;0.75;0.16666666666666663
176;1.0;0.5925925925925926
177;0.7777777777777778;0.4666666666666667
178;0.9285714285714286;0.52
179;1.0;0.5769230769230769
180;1.0;0.6944444444444444
181;1.0;0.4285714285714286
182;1.0;0.30000000000000004
183;1.0;0.2857142857142857
184;1.0;0.33333333333333337
185;0.9090909090909091;0.4545454545454546
186;1.0;0.6
187;1.0;0.5909090909090908
188;1.0;0.41666666666666663
189;1.0;0.3846153846153846
190;1.0;0.5625
191;1.0;0.38095238095238093
192;1.0;0.4
193;1.0;0.19999999999999996
194;1.0;0.36363636363636365
195;1.0;0.5909090909090908
196;0.6666666666666667;0.34782608695652173
197;1.0;0.5185185185185186
198;1.0;0.375
199;1.0;0.4666666666666667
200;1.0;0.6818181818181819
201;1.0;0.2777777777777778
202;1.0;0.2727272727272727
203;1.0;0.2666666666666667
204;1.0;0.2727272727272727
205;1.0;0.4736842105263158
206;1.0;0.36363636363636365
207;1.0;0.28
208;1.0;0.5625
209;1.0;0.33333333333333337
210;1.0;0.26315789473684215
211;1.0;0.5
212;0.8571428571428572;0.375
213;1.0;0.40909090909090906
214;0.8181818181818181;0.44999999999999996
215;0.8461538461538461;0.45833333333333337
216;1.0;0.5769230769230769
217;0.8;0.33333333333333337
218;1.0;0.2666666666666667
219;1.0;0.2727272727272727
220;1.0;0.23076923076923073
221;1.0;0.33333333333333337
222;1.0;0.41666666666666663
223;1.0;0.5384615384615384
224;0.9696969696969697;0.7894736842105263
225;1.0;0.4
226;1.0;0.52
227;1.0;0.2666666666666667
228;0.8461538461538461;0.45833333333333337
229;1.0;0.34782608695652173
230;1.0;0.33333333333333337
231;0.96;0.631578947368421
232;1.0;0.4444444444444444
233;1.0;0.4285714285714286
234;1.0;0.33333333333333337
235;1.0;0.6666666666666667
236;1.0;0.16666666666666663
237;1.0;0.33333333333333337
238;1.0;0.2857142857142857
239;1.0;0.375
240;1.0;0.4285714285714286
241;0.8;0.6774193548387097
242;1.0;0.3076923076923077
243;0.7575757575757576;0.7142857142857143
244;1.0;0.5652173913043479
245;1.0;0.3571428571428571
246;1.0;0.33333333333333337
247;1.0;0.17647058823529416
248;1.0;0.2777777777777778
249;1.0;0.19999999999999996
250;1.0;0.5
251;1.0;0.5
252;1.0;0.5
253;1.0;0.7647058823529411
254;1.0;0.6153846153846154
255;1.0;0.5333333333333333
256;1.0;0.36363636363636365
257;0.8780487804878049;0.7659574468085106
258;1.0;0.4
259;1.0;0.4545454545454546
260;1.0;0.6538461538461539
261;1.0;0.2727272727272727
262;1.0;0.17647058823529416
263;1.0;0.1875
264;1.0;0.35
265;1.0;0.5909090909090908
266;1.0;0.38888888888888884
267;1.0;0.5238095238095238
268;1.0;0.4375
269;1.0;0.23529411764705888
270;1.0;0.2666666666666667
271;1.0;0.5625
272;1.0;0.7777777777777778
273;1.0;0.3571428571428571
274;0.8181818181818181;0.5294117647058824
275;1.0;0.5
276;1.0;0.5714285714285714
277;1.0;0.375
278;1.0;0.19999999999999996
279;1.0;0.3529411764705882
280;1.0;0.5625
281;1.0;0.23076923076923073
282;1.0;0.35
283;1.0;0.5454545454545454
