,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.44292640686035156,"tf.Tensor([0.28761056 0.30339316 0.600464   0.21621618 0.35963297 0.31380746], shape=(6,), dtype=float32)",1.4785051345825195,0.52173912525177,"tf.Tensor([0.33333328 0.42857137 0.63758385 0.20512818 0.5901639  0.        ], shape=(6,), dtype=float32)",1.1704925298690796
1,0.6610841751098633,"tf.Tensor([0.6008065  0.5510597  0.7533959  0.49900985 0.68020296 0.6237816 ], shape=(6,), dtype=float32)",0.956935703754425,0.7193675637245178,"tf.Tensor([0.7666666  0.6506024  0.79310334 0.49999994 0.72941166 0.6999999 ], shape=(6,), dtype=float32)",0.8268148303031921
2,0.7650947570800781,"tf.Tensor([0.7554672  0.64963496 0.8166204  0.7020109  0.8025276  0.7370517 ], shape=(6,), dtype=float32)",0.7016074061393738,0.747035562992096,"tf.Tensor([0.7692307  0.74999994 0.8287293  0.7307691  0.81249994 0.5544554 ], shape=(6,), dtype=float32)",0.7525588870048523
3,0.8356103897094727,"tf.Tensor([0.81467175 0.8115942  0.8686416  0.78152746 0.8244766  0.84040403], shape=(6,), dtype=float32)",0.5107088088989258,0.7430830001831055,"tf.Tensor([0.7714285  0.70270264 0.7393939  0.7246376  0.7619047  0.7692307 ], shape=(6,), dtype=float32)",0.7368720769882202
4,0.8973115682601929,"tf.Tensor([0.8945454  0.866785   0.91999996 0.8540539  0.8892508  0.9130434 ], shape=(6,), dtype=float32)",0.3566357493400574,0.7075098752975464,"tf.Tensor([0.74999994 0.71698105 0.80213904 0.54054046 0.7457627  0.62499994], shape=(6,), dtype=float32)",0.7678171396255493
5,0.9325693845748901,"tf.Tensor([0.94227177 0.9087656  0.94501716 0.9263157  0.90850717 0.9423458 ], shape=(6,), dtype=float32)",0.2464093118906021,0.7588932514190674,"tf.Tensor([0.6842104  0.7999999  0.7865168  0.65384614 0.7868852  0.7826087 ], shape=(6,), dtype=float32)",0.7410585880279541
6,0.9603349566459656,"tf.Tensor([0.96691173 0.9501778  0.9640205  0.95744675 0.95129865 0.9660678 ], shape=(6,), dtype=float32)",0.16405445337295532,0.8221343755722046,"tf.Tensor([0.8421052  0.7999999  0.83653843 0.7999999  0.7540983  0.86666656], shape=(6,), dtype=float32)",0.5485047101974487
7,0.973556637763977,"tf.Tensor([0.9798903  0.97857136 0.9741824  0.9630931  0.9660742  0.97999996], shape=(6,), dtype=float32)",0.11308515071868896,0.8379446864128113,"tf.Tensor([0.8421052  0.8387096  0.86999995 0.779661   0.7605633  0.8771929 ], shape=(6,), dtype=float32)",0.5151159763336182
8,0.9806082248687744,"tf.Tensor([0.9779411  0.9805995  0.9827387  0.98591536 0.96910566 0.9841896 ], shape=(6,), dtype=float32)",0.08307361602783203,0.8418972492218018,"tf.Tensor([0.8620689  0.8709677  0.86868685 0.7826086  0.7666666  0.8474576 ], shape=(6,), dtype=float32)",0.5397924184799194
9,0.9863376021385193,"tf.Tensor([0.9872028  0.98423815 0.9854904  0.9895104  0.9887278  0.9841269 ], shape=(6,), dtype=float32)",0.05670608580112457,0.7114624381065369,"tf.Tensor([0.8235293  0.17142855 0.74218744 0.745098   0.73684204 0.74999994], shape=(6,), dtype=float32)",1.3247841596603394
